('Kuramon', 'Baby', 'Free', 'Neutral', '2', '0', '590', '77', '79', '69', '68', '95')
('Matadormon', 'Ultimate', 'Virus', 'Dark', '12', '3', '1480', '94', '148', '93', '104', '144')
('MachGaogamon', 'Ultimate', 'Data', 'Wind', '12', '3', '1480', '89', '158', '89', '89', '158')
('Mamemon', 'Ultimate', 'Data', 'Earth', '10', '3', '1480', '113', '111', '153', '84', '97')
('MegaSeadramon', 'Ultimate', 'Data', 'Water', '12', '3', '1330', '138', '86', '114', '158', '102')
('Megadramon', 'Ultimate', 'Virus', 'Wind', '12', '3', '1430', '79', '158', '148', '69', '119')
('WarGrowlmon', 'Ultimate', 'Virus', 'Fire', '14', '3', '1430', '84', '178', '138', '87', '116')
('MetalGreymon', 'Ultimate', 'Vaccine', 'Fire', '14', '2', '1530', '84', '168', '148', '80', '113')
('MetalGreymon (Blue)', 'Ultimate', 'Virus', 'Fire', '14', '2', '1670', '84', '173', '143', '69', '110')
('MetalTyrannomon', 'Ultimate', 'Virus', 'Electric', '12', '3', '1090', '104', '130', '178', '118', '92')
('MetalMamemon', 'Ultimate', 'Data', 'Electric', '10', '3', '1040', '99', '123', '153', '128', '103')
('Monzaemon', 'Ultimate', 'Vaccine', 'Neutral', '12', '2', '1580', '93', '128', '118', '119', '100')
('Crowmon', 'Ultimate', 'Vaccine', 'Wind', '12', '3', '890', '128', '119', '104', '119', '173')
('RizeGreymon', 'Ultimate', 'Vaccine', 'Fire', '14', '3', '1530', '94', '178', '109', '69', '143')
('Lilamon', 'Ultimate', 'Data', 'Plant', '12', '3', '1280', '148', '69', '104', '168', '114')
('Rapidmon', 'Ultimate', 'Vaccine', 'Electric', '12', '3', '1180', '113', '114', '109', '119', '143')
('Lillymon', 'Ultimate', 'Data', 'Plant', '12', '3', '890', '153', '74', '94', '163', '158')
('Lucemon FM', 'Ultimate', 'Virus', 'Neutral', '22', '2', '1390', '139', '163', '114', '203', '139')
('LadyDevimon', 'Ultimate', 'Virus', 'Dark', '14', '3', '890', '163', '99', '94', '158', '143')
('WereGarurumon', 'Ultimate', 'Vaccine', 'Earth', '12', '3', '1430', '89', '178', '89', '79', '153')
('WereGarurumon (Blk)', 'Ultimate', 'Virus', 'Earth', '12', '3', '1480', '79', '183', '104', '69', '148')
('Wisemon', 'Ultimate', 'Virus', 'Dark', '12', '3', '790', '168', '69', '84', '198', '133')
('Arcadiamon Mega', 'Mega', 'Virus', 'Dark', '20', '2', '1410', '153', '196', '109', '119', '163')
('Alphamon', 'Mega', 'Vaccine', 'Neutral', '22', '1', '1390', '128', '158', '183', '158', '130')
('UlforceVeedramon', 'Mega', 'Vaccine', 'Wind', '22', '1', '1680', '129', '188', '109', '104', '198')
('Ebemon', 'Mega', 'Virus', 'Electric', '16', '3', '1230', '178', '74', '114', '198', '129')
('Imperialdramon DM', 'Mega', 'Free', 'Fire', '20', '2', '1730', '143', '139', '139', '139', '148')
('Imperialdramon FM', 'Mega', 'Free', 'Neutral', '20', '2', '1780', '114', '198', '124', '114', '153')
('Vikemon', 'Mega', 'Free', 'Water', '18', '3', '1780', '105', '158', '143', '129', '133')
('Valkyrimon', 'Mega', 'Free', 'Wind', '18', '3', '1330', '139', '148', '129', '129', '168')
('Varodurumon', 'Mega', 'Vaccine', 'Light', '20', '2', '1580', '164', '103', '94', '189', '173')
('VenomMyotismon', 'Mega', 'Virus', 'Dark', '20', '3', '1540', '120', '193', '104', '148', '138')
('WarGreymon', 'Mega', 'Vaccine', 'Fire', '20', '2', '1630', '98', '193', '163', '99', '140')
('Ophanimon', 'Mega', 'Vaccine', 'Light', '20', '2', '840', '183', '104', '164', '193', '153')
('Gaiomon', 'Mega', 'Virus', 'Fire', '18', '3', '1630', '99', '203', '129', '94', '158')
('KaiserGreymon', 'Mega', 'Free', 'Fire', '20', '2', '1640', '99', '206', '151', '123', '139')
('ChaosGallantmon', 'Mega', 'Virus', 'Dark', '22', '1', '1340', '139', '178', '139', '163', '144')
('Chaosdramon', 'Mega', 'Virus', 'Electric', '20', '2', '1630', '99', '203', '173', '109', '134')
('Gankoomon', 'Mega', 'Data', 'Fire', '22', '2', '2080', '90', '188', '163', '109', '138')
('KingEtemon', 'Mega', 'Virus', 'Earth', '18', '3', '1290', '114', '164', '163', '131', '125')
('Kuzuhamon', 'Mega', 'Data', 'Dark', '18', '3', '1380', '163', '84', '129', '193', '139')
('GranKuwagamon', 'Mega', 'Virus', 'Plant', '18', '3', '1530', '88', '178', '178', '89', '140')
('GranDracmon', 'Mega', 'Virus', 'Dark', '20', '2', '1340', '140', '174', '114', '169', '151')
('GroundLocomon', 'Mega', 'Data', 'Electric', '18', '3', '1140', '114', '144', '213', '133', '128')
('Gryphonmon', 'Mega', 'Data', 'Wind', '18', '3', '1260', '129', '164', '104', '130', '173')
('Craniamon', 'Mega', 'Vaccine', 'Earth', '22', '1', '1630', '143', '124', '208', '134', '124')
('Kerpymon (Blk)', 'Mega', 'Virus', 'Dark', '20', '3', '1290', '188', '94', '94', '223', '153')
('Kerpymon (Good)', 'Mega', 'Vaccine', 'Light', '20', '2', '1290', '188', '94', '104', '208', '158')
('Goldramon', 'Mega', 'Vaccine', 'Light', '20', '2', '1680', '99', '193', '149', '134', '138')
('SaberLeomon', 'Mega', 'Data', 'Wind', '18', '3', '1680', '99', '228', '104', '84', '163')
('Sakuyamon', 'Mega', 'Data', 'Light', '18', '3', '990', '178', '94', '114', '188', '173')
('Jesmon', 'Mega', 'Data', 'Neutral', '22', '2', '1480', '119', '198', '149', '114', '168')
('ShineGreymon', 'Mega', 'Vaccine', 'Light', '20', '2', '1880', '114', '203', '109', '84', '158')
('ShineGreymon BM', 'Mega', 'Vaccine', 'Fire', '22', '2', '1980', '114', '228', '104', '84', '168')
('Justimon', 'Mega', 'Vaccine', 'Light', '18', '3', '1530', '99', '193', '158', '99', '144')
('Kentaurosmon', 'Mega', 'Vaccine', 'Light', '22', '1', '1140', '153', '139', '154', '154', '183')
('Slayerdramon', 'Mega', 'Vaccine', 'Wind', '20', '2', '1530', '148', '169', '129', '129', '153')
('Seraphimon', 'Mega', 'Vaccine', 'Light', '20', '2', '1480', '162', '94', '144', '198', '135')
('MegaGargomon', 'Mega', 'Vaccine', 'Electric', '18', '3', '1430', '132', '149', '139', '119', '144')
('Darkdramon', 'Mega', 'Virus', 'Electric', '18', '3', '1580', '94', '188', '148', '99', '139')
('TigerVespamon', 'Mega', 'Virus', 'Electric', '18', '3', '1630', '104', '193', '114', '99', '173')
('Titamon', 'Mega', 'Virus', 'Earth', '18', '3', '1930', '99', '183', '128', '114', '129')
('TyrantKabuterimon', 'Mega', 'Virus', 'Plant', '20', '2', '1530', '108', '174', '164', '123', '159')
('Dianamon', 'Mega', 'Data', 'Water', '20', '3', '790', '178', '89', '154', '198', '183')
('Diaboromon', 'Mega', 'Free', 'Dark', '20', '2', '1680', '114', '243', '104', '79', '173')
('Creepymon', 'Mega', 'Virus', 'Dark', '22', '2', '1440', '133', '183', '114', '183', '140')
('Gallantmon', 'Mega', 'Virus', 'Light', '22', '1', '1480', '148', '149', '154', '149', '148')
('Dynasmon', 'Mega', 'Data', 'Wind', '22', '2', '1680', '114', '213', '129', '94', '178')
('Durandamon', 'Mega', 'Vaccine', 'Neutral', '20', '2', '1660', '92', '193', '175', '95', '135')
('Leopardmon', 'Mega', 'Data', 'Light', '22', '3', '990', '188', '124', '114', '183', '188')
